,title,genre_list,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,ScienceFiction,TVMovie,Thriller,War,Western,vote_average,popularity,vote_count,revenue,budget,release_date,profit
1506,Justice League vs. the Fatal Five,"Animation,Action,ScienceFiction",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.7,31.559,181,0,0,2019-03-29,0
1507,The Human Centipede 2 (Full Sequence),"Drama,Horror,Crime",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.7,31.557,808,0,0,2011-10-06,0
1508,The Shape of Water,"Drama,Fantasy,Romance",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7.3,31.555999999999997,9148,194989655,19500000,2017-12-01,175489655
1509,Descendants 2,"Family,Music,TVMovie,Adventure,Action,Fantasy,Romance",1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,7.4,31.555,1135,0,0,2017-07-21,0
1510,Soul,"Animation,Comedy,Adventure,Family,Music,Fantasy",0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,31.531999999999996,0,0,0,2020-12-25,0
1511,Bright,"Action,Fantasy,Thriller",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6.2,31.509,4169,0,90000000,2017-12-22,-90000000
1512,Abraham Lincoln: Vampire Hunter,"Action,Fantasy,Horror",1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5.6,31.480999999999998,2361,116471580,69000000,2012-06-20,47471580
1513,Obsessed,"Drama,Romance,Adventure",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6.6,31.416999999999998,30,0,0,2014-05-14,0
1514,Misbehaviour,"Drama,History,Comedy",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.6,31.416,56,1015412,0,2020-03-12,1015412
1515,Scream,"Crime,Horror,Mystery",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7.2,31.371,3863,173046663,14000000,1996-12-20,159046663
1516,Men in Black,"Action,Adventure,Comedy,ScienceFiction",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.1,31.355999999999998,9993,589390539,90000000,1997-07-02,499390539
1517,Anastasia: Once Upon a Time,"Adventure,Fantasy,Family",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6.4,31.339000000000002,39,0,0,2020-02-27,0
1518,Mad World,ScienceFiction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.8,31.301,4,0,0,2018-01-02,0
1519,Furtive,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.6,31.279,17,0,0,2020-08-06,0
1520,Mission: Impossible II,"Adventure,Action,Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.1,31.264,4414,546388105,125000000,2000-05-24,421388105
1521,The Other Side of Heaven 2: Fire of Faith,"Drama,Adventure",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.1,31.254,7,0,0,2019-06-28,0
1522,The Report,"Drama,Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7.1,31.236,537,0,0,2019-09-12,0
1523,4x4,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.5,31.234,36,1292773,3000000,2019-04-04,-1707227
1524,First Blood,"Action,Adventure,Thriller,War",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7.4,31.205,3911,125212904,15000000,1982-10-22,110212904
1525,Wrath of the Titans,"Fantasy,Adventure",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.7,31.204,3020,301970083,150000000,2012-03-27,151970083
1526,The Grudge,"Horror,Mystery",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5.7,31.197,678,42800000,10000000,2020-01-02,32800000
1527,The Mummy: Tomb of the Dragon Emperor,"Adventure,Action,Fantasy",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.4,31.191,3176,401128639,145000000,2008-07-01,256128639
1528,Scary Movie 3,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,31.155,2687,220673217,48000000,2003-10-24,172673217
1529,The Banana Splits Movie,"Comedy,Horror,ScienceFiction,Thriller",0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,6.2,31.142,74,0,0,2019-08-26,0
